Symbol,Date,Adj Close
AAPL,4/3/2012,78.757515
MSFT,5/24/2013,29.711857
IBM,7/10/2012,145.892075
MSFT,9/23/2015,40.457005
MSFT,6/12/2018,99.691162
AAPL,2/2/2010,24.511295
AAPL,3/29/2012,76.322151
AAPL,9/21/2016,108.651367
MSFT,8/11/2015,42.519016
IBM,3/1/2012,154.074066
IBM,11/11/2009,95.35585
IBM,11/14/2016,142.342865
AAPL,8/9/2016,104.115845
AAPL,4/1/2011,43.120655
IBM,7/25/2013,157.204468
AAPL,12/23/2010,40.497566
MSFT,11/26/2012,23.387943
IBM,3/7/2018,149.423523
MSFT,7/26/2011,22.998249
IBM,4/5/2016,130.082001
IBM,8/20/2015,129.832367
AAPL,6/21/2011,40.710316
MSFT,3/14/2018,91.951813
MSFT,11/12/2014,43.811672
MSFT,5/23/2018,97.083504
MSFT,5/24/2010,21.008265
IBM,5/29/2012,153.881409
MSFT,12/29/2009,24.873674
IBM,1/26/2010,94.276276
IBM,11/20/2017,140.667374
IBM,3/27/2013,167.316605
IBM,7/25/2018,139.917084
AAPL,1/3/2013,68.444672
AAPL,4/4/2011,42.698917
MSFT,11/15/2013,33.038189
AAPL,12/7/2016,106.785538
IBM,1/29/2016,107.125351
AAPL,12/29/2011,50.699566
AAPL,3/5/2014,69.315842
IBM,8/23/2012,153.940613
AAPL,3/18/2013,57.873802
IBM,11/23/2015,118.860306
AAPL,2/28/2014,68.518982
IBM,10/24/2016,134.251175
IBM,1/31/2012,149.64592
IBM,2/8/2016,110.11879
MSFT,9/6/2012,26.551155
AAPL,11/19/2013,67.245422
MSFT,1/27/2009,13.673252
AAPL,4/20/2010,30.609709
AAPL,12/28/2017,167.185913
AAPL,11/16/2015,107.425018
MSFT,11/17/2010,20.683857
IBM,3/30/2011,125.494492
AAPL,11/14/2014,105.625313
AAPL,2/4/2009,11.707504
AAPL,4/28/2016,89.703918
MSFT,1/13/2011,22.803205
MSFT,6/29/2016,47.589706
IBM,7/12/2011,134.107529
AAPL,12/31/2015,99.03273
IBM,10/10/2014,152.339127
MSFT,9/7/2011,21.429075
AAPL,3/31/2009,13.155455
IBM,3/15/2017,159.428436
IBM,6/30/2016,134.171234
AAPL,4/16/2015,117.17765
AAPL,11/23/2011,45.927708
AAPL,3/20/2012,75.834084
IBM,11/13/2015,113.100143
MSFT,4/1/2016,51.962627
AAPL,3/3/2011,44.997871
AAPL,9/6/2013,64.110367
IBM,5/10/2011,131.27977
IBM,3/20/2018,147.422607
IBM,12/15/2016,151.169022
AAPL,3/8/2011,44.522297
AAPL,11/2/2009,23.69158
AAPL,8/21/2017,153.081329
AAPL,11/29/2010,39.655334
AAPL,1/27/2017,117.288101
AAPL,2/24/2010,25.112
AAPL,9/24/2014,93.720238
MSFT,8/31/2011,21.923595
AAPL,8/10/2010,32.464397
AAPL,8/19/2016,104.642128
MSFT,11/9/2009,22.870798
IBM,12/15/2011,145.667801
MSFT,7/6/2018,99.543556
AAPL,7/16/2009,18.461687
AAPL,7/13/2018,188.461243
MSFT,5/18/2009,16.058908
AAPL,11/5/2014,100.269127
MSFT,5/13/2014,36.077816
MSFT,9/25/2009,20.156914
MSFT,4/25/2018,90.442955
AAPL,2/8/2012,59.655083
AAPL,7/13/2017,143.32637
IBM,1/18/2013,153.642532
IBM,9/28/2011,137.400009
MSFT,10/7/2010,19.721418
MSFT,8/4/2017,70.149124
IBM,7/21/2014,155.450943
AAPL,8/3/2009,20.828218
IBM,9/6/2018,141.206879
AAPL,5/22/2014,79.511116
MSFT,8/14/2009,18.58502
MSFT,4/2/2012,26.990191
MSFT,4/13/2009,15.271548
IBM,3/2/2015,133.315643
IBM,1/19/2017,150.080353
IBM,6/18/2015,141.913086
AAPL,9/26/2013,62.566223
IBM,8/18/2017,129.272202
AAPL,6/23/2010,33.911079
MSFT,11/18/2016,57.567513
MSFT,10/26/2018,105.655914
IBM,12/20/2018,110.40686
AAPL,7/19/2018,189.003006
MSFT,10/30/2009,21.876755
AAPL,11/8/2010,39.874344
MSFT,7/3/2018,97.467278
IBM,7/19/2017,135.090393
MSFT,3/22/2010,23.564949
AAPL,5/26/2015,120.884575
MSFT,7/1/2014,37.372051
AAPL,1/29/2015,109.991692
MSFT,8/24/2015,38.437386
MSFT,4/20/2011,20.960718
IBM,8/10/2012,156.764542
AAPL,8/6/2012,77.910294
AAPL,10/15/2015,104.793709
IBM,8/8/2014,152.912643
IBM,10/26/2012,152.029144
IBM,10/27/2011,143.846359
MSFT,6/15/2016,46.789322
AAPL,8/11/2016,103.273819
AAPL,9/12/2013,60.825195
AAPL,12/6/2011,48.926224
MSFT,4/16/2012,25.978786
AAPL,12/5/2011,49.184029
AAPL,6/29/2011,41.804108
MSFT,10/6/2015,43.112953
MSFT,3/6/2013,24.18425
IBM,10/31/2017,142.560287
AAPL,7/20/2018,188.569595
IBM,9/16/2010,98.636826
MSFT,12/31/2009,24.15258
AAPL,5/13/2014,77.742241
AAPL,1/26/2017,117.278488
AAPL,11/3/2017,167.969772
MSFT,12/22/2015,51.387943
MSFT,9/25/2012,25.738106
IBM,6/22/2010,97.870415
AAPL,5/14/2013,56.740749
MSFT,11/16/2010,20.877998
IBM,7/19/2012,153.004166
AAPL,11/2/2018,205.085831
MSFT,9/29/2015,40.060467
MSFT,11/21/2018,102.29287
MSFT,7/2/2012,25.711756
MSFT,5/18/2011,20.221746
AAPL,8/29/2017,158.631622
AAPL,7/30/2010,32.194061
MSFT,4/20/2009,14.507586
AAPL,7/17/2018,188.579453
IBM,12/22/2010,111.513962
IBM,8/27/2015,126.328407
AAPL,6/29/2017,139.35936
IBM,2/1/2016,107.159706
IBM,3/11/2013,166.67395
IBM,9/10/2012,158.070343
MSFT,10/2/2018,113.746071
IBM,9/6/2016,142.971207
MSFT,9/13/2016,53.561798
IBM,8/15/2017,131.465302
IBM,3/16/2017,160.725174
AAPL,11/12/2018,192.599106
AAPL,11/26/2018,173.20726
IBM,4/18/2017,154.205154
MSFT,4/30/2013,28.497641
MSFT,12/12/2011,21.183544
IBM,9/1/2015,121.344704
IBM,1/18/2012,140.687347
AAPL,3/7/2016,96.363358
IBM,12/8/2010,110.772835
AAPL,3/9/2015,118.078514
AAPL,7/1/2013,52.312542
MSFT,7/5/2016,48.182922
IBM,2/19/2016,115.408783
IBM,7/1/2015,138.741684
IBM,11/2/2009,89.981415
MSFT,2/22/2012,26.137606
IBM,9/2/2009,86.645164
MSFT,3/23/2011,20.781706
IBM,8/21/2015,126.592102
IBM,11/20/2009,95.183411
AAPL,3/27/2009,13.371961
MSFT,8/9/2018,107.91758
AAPL,9/2/2015,105.243378
IBM,11/29/2017,143.508575
AAPL,7/11/2011,44.302036
IBM,6/18/2014,149.545654
AAPL,7/8/2013,53.057827
IBM,2/24/2014,148.558578
IBM,12/27/2012,152.25206
AAPL,5/20/2013,56.621857
AAPL,9/5/2017,157.823425
MSFT,12/6/2018,108.324692
AAPL,7/6/2011,44.021709
AAPL,3/27/2014,69.979889
IBM,7/23/2012,149.471588
IBM,12/30/2014,132.032257
IBM,8/22/2016,142.659134
MSFT,3/15/2011,20.659649
MSFT,8/15/2017,71.046837
IBM,6/9/2016,135.620972
MSFT,11/1/2016,56.660099
AAPL,5/25/2017,149.24295
IBM,10/19/2017,148.889725
IBM,9/18/2012,162.884399
IBM,7/11/2011,134.831802
IBM,10/24/2018,122.705963
AAPL,9/12/2018,218.519043
AAPL,5/26/2017,148.990768
AAPL,8/23/2013,64.470673
IBM,9/15/2009,89.078346
IBM,6/21/2011,128.074417
MSFT,4/21/2014,35.399647
IBM,7/16/2015,144.232605
IBM,11/23/2011,138.263184
IBM,3/8/2012,155.852463
MSFT,12/28/2011,21.440971
IBM,2/18/2010,96.249252
IBM,9/5/2017,132.362885
IBM,7/23/2018,139.039154
IBM,10/31/2011,142.878998
IBM,11/14/2013,146.749893
MSFT,4/15/2010,24.576012
MSFT,7/19/2010,20.176567
AAPL,2/20/2013,57.001354
IBM,3/21/2018,147.885086
AAPL,10/13/2016,111.933395
MSFT,9/19/2016,53.940792
MSFT,6/2/2011,19.836807
AAPL,12/1/2009,24.650208
AAPL,1/12/2016,94.046272
AAPL,10/21/2011,49.166496
MSFT,10/11/2017,74.151871
AAPL,11/21/2011,46.180508
AAPL,7/10/2018,187.495941
AAPL,4/22/2013,50.628777
MSFT,2/8/2013,23.524567
AAPL,8/5/2015,107.622925
IBM,9/30/2016,141.633804
MSFT,9/4/2015,39.295036
MSFT,6/3/2013,30.856287
IBM,1/11/2016,114.370621
IBM,3/24/2015,135.409042
MSFT,1/28/2016,48.33345
AAPL,2/21/2012,64.431946
IBM,9/11/2013,152.767258
